iso3,year,cause,sex,all,a00,a01,a05,a10,a15,a20,a25,a30,a35,a40,a45,a50,a55,a60,a65,a70,a75,a80,a85,age,any_year_reason,unk
MEX,2013,1475,1,202,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2008,810,2,4849,105,154,97,151,138,155,138,172,150,169,184,172,188,216,270,354,468,561,1003,0,0,4
MEX,2013,1542,1,125,0,4,4,7,12,13,10,13,10,8,5,15,3,9,2,5,3,0,0,0,0,2
MEX,2011,1060,1,8026,5,3,2,10,46,66,66,98,106,178,233,345,457,588,660,909,1065,1218,1965,0,0,6
MEX,2007,310,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,9000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2013,9001,1,3883,60,34,11,40,18,28,36,31,33,70,66,124,160,210,283,332,450,575,1315,0,0,7
MEX,2014,10,2,27925,6789,600,176,163,302,454,582,679,655,666,734,776,1027,1001,1214,1507,1895,2364,6327,0,0,14
MEX,2014,30,2,701,2,2,4,6,10,28,34,39,40,42,54,53,54,71,62,74,51,42,33,0,0,0
MEX,2003,580,2,639,20,18,6,9,4,10,11,9,11,17,12,15,21,32,26,40,62,86,229,0,0,1
MEX,2000,920,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,80,2,114,0,0,0,0,3,2,5,6,4,9,9,11,12,3,11,10,10,9,10,0,0,0
MEX,2014,80,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,120,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2009,9001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,230,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,290,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2000,630,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,310,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,330,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
MEX,2013,1040,9,26,1,0,0,0,0,0,0,0,1,0,1,1,1,1,3,2,2,1,4,0,0,8
MEX,2014,350,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2009,300,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,440,2,15,0,0,0,0,5,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2001,1020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2009,744,1,158,0,0,0,0,0,2,0,3,3,8,6,16,12,18,24,29,16,9,11,0,0,1
MEX,2003,560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,550,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEX,2014,560,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEX,2014,580,1,346,5,4,0,3,4,4,3,10,4,7,10,9,14,15,19,24,41,38,132,0,0,0
MEX,2014,612,1,45,0,0,0,1,1,2,2,1,3,3,2,5,14,1,1,4,2,2,1,0,0,0
MEX,2014,620,2,242,0,0,0,0,1,0,0,2,4,12,12,12,19,31,31,29,34,27,28,0,0,0
MEX,2014,620,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
